adjective,noun,metaphorical?,count
bright_j,dog_n,y,20
bright_j,consumer_n,y,13
bright_j,dream_n,y,43
bright_j,resident_n,y,10
bright_j,writing_n,y,11
bright_j,brain_n,y,26
bright_j,boy_n,y,298
bright_j,companion_n,y,17
bright_j,use_n,y,13
bright_j,soprano_n,y,12
bright_j,choice_n,y,14
bright_j,achievement_n,y,10
bright_j,journalist_n,y,16
bright_j,coach_n,y,22
bright_j,fellow_n,y,44
bright_j,solution_n,y,10
bright_j,story_n,y,69
bright_j,intellect_n,y,18
bright_j,doctor_n,y,22
bright_j,career_n,y,152
bright_j,reading_n,y,43
bright_j,attorney_n,y,18
bright_j,song_n,y,30
bright_j,production_n,y,13
bright_j,expression_n,y,14
bright_j,science_n,y,14
bright_j,staff_n,y,16
bright_j,group_n,y,23
bright_j,scheme_n,y,12
bright_j,comeback_n,y,10
bright_j,researcher_n,y,22
bright_j,opportunity_n,y,34
bright_j,job_n,y,70
bright_j,assessment_n,y,50
bright_j,olympic_n,y,30
bright_j,leader_n,y,34
bright_j,history_n,y,30
bright_j,company_n,y,48
bright_j,folk_n,y,27
bright_j,humor_n,y,16
bright_j,example_n,y,117
bright_j,team_n,y,30
bright_j,business_n,y,113
bright_j,opposition_n,y,23
bright_j,scholar_n,y,33
bright_j,member_n,y,79
bright_j,recording_n,y,10
bright_j,feat_n,y,24
bright_j,marketing_n,y,38
bright_j,comment_n,y,11
bright_j,school_n,y,21
bright_j,monkey_n,y,18
bright_j,service_n,y,15
bright_j,debut_n,y,14
bright_j,development_n,y,24
bright_j,engineering_n,y,27
bright_j,student_n,y,1364
bright_j,colleague_n,y,13
bright_j,work_n,y,94
bright_j,guy_n,y,283
bright_j,book_n,y,30
bright_j,baby_n,y,13
bright_j,effort_n,y,12
bright_j,youngster_n,y,183
bright_j,undergraduate_n,y,45
bright_j,engineer_n,y,79
bright_j,mathematician_n,y,10
bright_j,design_n,y,81
bright_j,kid_n,y,409
bright_j,graduate_n,y,353
bright_j,master_n,y,33
bright_j,twin_n,y,24
bright_j,idea_n,y,3715
bright_j,alternative_n,y,25
bright_j,lawyer_n,y,32
bright_j,chap_n,y,13
bright_j,pupil_n,y,324
bright_j,person_n,y,98
bright_j,thought_n,y,35
bright_j,life_n,y,63
bright_j,sense_n,y,26
bright_j,promise_n,y,177
bright_j,comedy_n,y,24
bright_j,worker_n,y,16
bright_j,girl_n,y,187
bright_j,academic_n,y,12
bright_j,newcomer_n,y,27
bright_j,employee_n,y,33
bright_j,university_n,y,44
bright_j,performer_n,y,18
bright_j,personality_n,y,104
bright_j,investment_n,y,24
bright_j,recruit_n,y,10
bright_j,teenager_n,y,48
bright_j,child_n,y,925
bright_j,candidate_n,y,205
bright_j,artist_n,y,16
bright_j,manager_n,y,14
bright_j,software_n,y,106
bright_j,interest_n,y,16
bright_j,future_n,y,12328
bright_j,youth_n,y,34
bright_j,reader_n,y,10
bright_j,spirit_n,y,56
bright_j,soldier_n,y,10
bright_j,result_n,y,47
bright_j,college_n,y,77
bright_j,politician_n,y,25
bright_j,suggestion_n,y,11
bright_j,intellectual_n,y,15
bright_j,character_n,y,34
bright_j,consultant_n,y,12
bright_j,intelligence_n,y,18
bright_j,poet_n,y,10
bright_j,daughter_n,y,37
bright_j,guide_n,y,28
bright_j,research_n,y,17
bright_j,sport_n,y,40
bright_j,economy_n,y,41
bright_j,voice_n,y,102
bright_j,teacher_n,y,29
bright_j,son_n,y,31
bright_j,toddler_n,y,13
bright_j,reference_n,y,21
bright_j,mba_n,y,18
bright_j,mind_n,y,541
bright_j,luminary_n,y,20
bright_j,play_n,y,22
bright_j,lad_n,y,106
bright_j,phd_n,y,20
bright_j,designer_n,y,10
bright_j,officer_n,y,19
bright_j,ideal_n,y,14
bright_j,talent_n,y,238
bright_j,success_n,y,22
bright_j,subject_n,y,35
bright_j,woman_n,y,151
bright_j,possibility_n,y,24
bright_j,language_n,y,12
bright_j,data_n,y,37
bright_j,man_n,y,167
bright_j,start_n,y,2131
bright_j,growth_n,y,52
bright_j,scientist_n,y,65
bright_j,individual_n,y,146
bright_j,lady_n,y,24
bright_j,people_n,y,768
bright_j,family_n,y,10
bright_j,memory_n,y,36
bright_j,beginning_n,y,62
bright_j,genius_n,y,17
bright_j,music_n,y,19
bright_j,technology_n,y,21
bright_j,performance_n,y,86
bright_j,exception_n,y,20
brilliant_j,theologian_n,y,41
brilliant_j,singing_n,y,57
brilliant_j,sequel_n,y,36
brilliant_j,writer_n,y,372
brilliant_j,interplay_n,y,19
brilliant_j,observation_n,y,58
brilliant_j,pitcher_n,y,13
brilliant_j,work_n,y,966
brilliant_j,organisation_n,y,181
brilliant_j,chancellor_n,y,25
brilliant_j,arranger_n,y,16
brilliant_j,businessman_n,y,82
brilliant_j,golf_n,y,34
brilliant_j,free-kick_n,y,60
brilliant_j,commander_n,y,75
brilliant_j,gift_n,y,87
brilliant_j,episode_n,y,57
brilliant_j,professor_n,y,63
brilliant_j,presentation_n,y,112
brilliant_j,writing_n,y,182
brilliant_j,cartoonist_n,y,18
brilliant_j,escape_n,y,176
brilliant_j,winger_n,y,21
brilliant_j,amateur_n,y,36
brilliant_j,wit_n,y,82
brilliant_j,ability_n,y,53
brilliant_j,program_n,y,22
brilliant_j,spoof_n,y,41
brilliant_j,biologist_n,y,14
brilliant_j,speaker_n,y,115
brilliant_j,campaign_n,y,173
brilliant_j,ending_n,y,29
brilliant_j,surgeon_n,y,116
brilliant_j,brain_n,y,53
brilliant_j,communicator_n,y,68
brilliant_j,companion_n,y,23
brilliant_j,reaction_n,y,45
brilliant_j,twist_n,y,80
brilliant_j,decision_n,y,70
brilliant_j,batsman_n,y,20
brilliant_j,interpreter_n,y,20
brilliant_j,costume_n,y,50
brilliant_j,soccer_n,y,21
brilliant_j,use_n,y,350
brilliant_j,driver_n,y,23
brilliant_j,choice_n,y,144
brilliant_j,plan_n,y,210
brilliant_j,prose_n,y,45
brilliant_j,crew_n,y,14
brilliant_j,review_n,y,173
brilliant_j,plot_n,y,37
brilliant_j,price_n,y,50
brilliant_j,achievement_n,y,396
brilliant_j,journalist_n,y,39
brilliant_j,rendition_n,y,43
brilliant_j,routine_n,y,18
brilliant_j,historian_n,y,22
brilliant_j,analyst_n,y,30
brilliant_j,barrister_n,y,33
brilliant_j,intuition_n,y,16
brilliant_j,advance_n,y,25
brilliant_j,producer_n,y,11
brilliant_j,astronomer_n,y,11
brilliant_j,fellow_n,y,30
brilliant_j,translation_n,y,31
brilliant_j,news_n,y,368
brilliant_j,solution_n,y,239
brilliant_j,interpretation_n,y,71
brilliant_j,economist_n,y,75
brilliant_j,civilization_n,y,63
brilliant_j,rally_n,y,50
brilliant_j,cv_n,y,68
brilliant_j,pitching_n,y,54
brilliant_j,intellect_n,y,101
brilliant_j,imagination_n,y,84
brilliant_j,doctor_n,y,59
brilliant_j,guest_n,y,32
brilliant_j,solo_n,y,432
brilliant_j,career_n,y,1678
brilliant_j,innovation_n,y,95
brilliant_j,film_n,y,499
brilliant_j,novelist_n,y,45
brilliant_j,passer_n,y,26
brilliant_j,deal_n,y,86
brilliant_j,legacy_n,y,16
brilliant_j,excuse_n,y,17
brilliant_j,show_n,y,383
brilliant_j,melody_n,y,27
brilliant_j,thriller_n,y,25
brilliant_j,metaphor_n,y,31
brilliant_j,project_n,y,165
brilliant_j,introduction_n,y,95
brilliant_j,asset_n,y,29
brilliant_j,call_n,y,17
brilliant_j,tradition_n,y,29
brilliant_j,discovery_n,y,54
brilliant_j,insight_n,y,272
brilliant_j,conversation_n,y,22
brilliant_j,rugby_n,y,30
brilliant_j,score_n,y,77
brilliant_j,reading_n,y,51
brilliant_j,attorney_n,y,37
brilliant_j,player_n,y,307
brilliant_j,song_n,y,372
brilliant_j,thesis_n,y,16
brilliant_j,open_n,y,636
brilliant_j,duel_n,y,18
brilliant_j,fantasy_n,y,34
brilliant_j,affair_n,y,17
brilliant_j,collaboration_n,y,28
brilliant_j,production_n,y,123
brilliant_j,occasion_n,y,12
brilliant_j,statement_n,y,24
brilliant_j,brother_n,y,26
brilliant_j,thinker_n,y,121
brilliant_j,record_n,y,194
brilliant_j,propaganda_n,y,23
brilliant_j,guitarist_n,y,76
brilliant_j,expression_n,y,50
brilliant_j,contribution_n,y,95
brilliant_j,science_n,y,46
brilliant_j,pass_n,y,62
brilliant_j,staff_n,y,88
brilliant_j,scheme_n,y,124
brilliant_j,tour_n,y,80
brilliant_j,comeback_n,y,102
brilliant_j,premise_n,y,52
brilliant_j,researcher_n,y,103
brilliant_j,opportunity_n,y,594
brilliant_j,job_n,y,1905
brilliant_j,hat-trick_n,y,66
brilliant_j,columnist_n,y,27
brilliant_j,election_n,y,33
brilliant_j,celebration_n,y,32
brilliant_j,exploration_n,y,29
brilliant_j,diplomat_n,y,35
brilliant_j,cook_n,y,37
brilliant_j,investor_n,y,27
brilliant_j,style_n,y,113
brilliant_j,scoring_n,y,37
brilliant_j,fielder_n,y,30
brilliant_j,problem_n,y,29
brilliant_j,defender_n,y,15
brilliant_j,kick_n,y,33
brilliant_j,artistry_n,y,12
brilliant_j,songwriter_n,y,67
brilliant_j,leader_n,y,175
brilliant_j,prodigy_n,y,38
brilliant_j,accomplishment_n,y,44
brilliant_j,psychologist_n,y,15
brilliant_j,account_n,y,96
brilliant_j,violinist_n,y,20
brilliant_j,harmony_n,y,18
brilliant_j,speech_n,y,164
brilliant_j,singer_n,y,63
brilliant_j,history_n,y,115
brilliant_j,dancer_n,y,53
brilliant_j,exploit_n,y,29
brilliant_j,policy_n,y,28
brilliant_j,english_n,y,22
brilliant_j,company_n,y,150
brilliant_j,award_n,y,25
brilliant_j,flying_n,y,27
brilliant_j,invention_n,y,137
brilliant_j,cinematography_n,y,45
brilliant_j,laugh_n,y,23
brilliant_j,education_n,y,23
brilliant_j,relationship_n,y,13
brilliant_j,lyricist_n,y,15
brilliant_j,brokerage_n,y,34
brilliant_j,scholarship_n,y,14
brilliant_j,notion_n,y,26
brilliant_j,literature_n,y,25
brilliant_j,comic_n,y,20
brilliant_j,overview_n,y,29
brilliant_j,actor_n,y,230
brilliant_j,example_n,y,587
brilliant_j,team_n,y,328
brilliant_j,business_n,y,290
brilliant_j,reputation_n,y,51
brilliant_j,message_n,y,21
brilliant_j,facilitator_n,y,27
brilliant_j,crime_n,y,17
brilliant_j,scholar_n,y,221
brilliant_j,compromise_n,y,21
brilliant_j,conflict_n,y,16
brilliant_j,composition_n,y,50
brilliant_j,woman_n,y,144
brilliant_j,recording_n,y,36
brilliant_j,conclusion_n,y,55
brilliant_j,campaigner_n,y,12
brilliant_j,pianist_n,y,90
brilliant_j,musician_n,y,280
brilliant_j,sanity_n,y,16
brilliant_j,article_n,y,163
brilliant_j,feat_n,y,83
brilliant_j,keeper_n,y,16
brilliant_j,marketing_n,y,211
brilliant_j,comment_n,y,71
brilliant_j,community_n,y,51
brilliant_j,personality_n,y,28
brilliant_j,school_n,y,66
brilliant_j,protege_n,y,12
brilliant_j,race_n,y,184
brilliant_j,bowling_n,y,36
brilliant_j,supporter_n,y,14
brilliant_j,exposition_n,y,68
brilliant_j,session_n,y,35
brilliant_j,customer_n,y,92
brilliant_j,script_n,y,132
brilliant_j,service_n,y,643
brilliant_j,trip_n,y,84
brilliant_j,playwright_n,y,17
brilliant_j,debut_n,y,328
brilliant_j,organizer_n,y,15
brilliant_j,chapter_n,y,68
brilliant_j,effect_n,y,303
brilliant_j,engineering_n,y,33
brilliant_j,nlp_n,y,23
brilliant_j,charity_n,y,81
brilliant_j,student_n,y,738
brilliant_j,initiative_n,y,65
brilliant_j,winner_n,y,114
brilliant_j,songwriting_n,y,19
brilliant_j,shot_n,y,271
brilliant_j,guy_n,y,123
brilliant_j,triumph_n,y,20
brilliant_j,victory_n,y,479
brilliant_j,defence_n,y,66
brilliant_j,vocalist_n,y,11
brilliant_j,book_n,y,912
brilliant_j,baby_n,y,25
brilliant_j,cousin_n,y,20
brilliant_j,management_n,y,99
brilliant_j,effort_n,y,298
brilliant_j,story_n,y,300
brilliant_j,discount_n,y,43
brilliant_j,competitor_n,y,13
brilliant_j,leadership_n,y,117
brilliant_j,preacher_n,y,29
brilliant_j,parent_n,y,21
brilliant_j,youngster_n,y,20
brilliant_j,recipe_n,y,23
brilliant_j,holiday_n,y,128
brilliant_j,engineer_n,y,216
brilliant_j,maneuver_n,y,32
brilliant_j,mathematician_n,y,287
brilliant_j,hockey_n,y,35
brilliant_j,coaching_n,y,46
brilliant_j,control_n,y,36
brilliant_j,chemist_n,y,27
brilliant_j,chef_n,y,23
brilliant_j,acknowledgement_n,y,10
brilliant_j,saxophonist_n,y,19
brilliant_j,dj_n,y,34
brilliant_j,thanks_n,y,15
brilliant_j,formulum_n,y,20
brilliant_j,blog_n,y,24
brilliant_j,freedom_n,y,23
brilliant_j,swimmer_n,y,12
brilliant_j,jurist_n,y,38
brilliant_j,tribute_n,y,22
brilliant_j,director_n,y,127
brilliant_j,creativity_n,y,24
brilliant_j,inventor_n,y,116
brilliant_j,entertainer_n,y,30
brilliant_j,run_n,y,504
brilliant_j,jump_n,y,18
brilliant_j,cameo_n,y,57
brilliant_j,volley_n,y,86
brilliant_j,satire_n,y,64
brilliant_j,band_n,y,221
brilliant_j,kid_n,y,70
brilliant_j,renaissance_n,y,28
brilliant_j,word_n,y,79
brilliant_j,coup_n,y,36
brilliant_j,graduate_n,y,45
brilliant_j,tune_n,y,54
brilliant_j,publication_n,y,89
brilliant_j,passing_n,y,89
brilliant_j,joke_n,y,32
brilliant_j,marketer_n,y,40
brilliant_j,practice_n,y,34
brilliant_j,improvisation_n,y,62
brilliant_j,actress_n,y,49
brilliant_j,attack_n,y,108
brilliant_j,critique_n,y,43
brilliant_j,master_n,y,40
brilliant_j,prospects_n,y,32
brilliant_j,mother_n,y,30
brilliant_j,rhetoric_n,y,12
brilliant_j,murder_n,y,35
brilliant_j,operation_n,y,99
brilliant_j,victor_n,y,15
brilliant_j,discussion_n,y,23
brilliant_j,wedding_n,y,40
brilliant_j,successor_n,y,14
brilliant_j,command_n,y,33
brilliant_j,magazine_n,y,31
brilliant_j,inspiration_n,y,20
brilliant_j,oratory_n,y,39
brilliant_j,art_n,y,83
brilliant_j,information_n,y,57
brilliant_j,friend_n,y,93
brilliant_j,role_n,y,64
brilliant_j,weekend_n,y,5591
brilliant_j,survey_n,y,29
brilliant_j,ambassador_n,y,22
brilliant_j,closing_n,y,26
brilliant_j,pioneer_n,y,22
brilliant_j,analysis_n,y,195
brilliant_j,idea_n,y,2884
brilliant_j,lawyer_n,y,335
brilliant_j,method_n,y,13
brilliant_j,athlete_n,y,36
brilliant_j,choreography_n,y,45
brilliant_j,mathematics_n,y,14
brilliant_j,experiment_n,y,29
brilliant_j,filmmaker_n,y,29
brilliant_j,pupil_n,y,63
brilliant_j,riff_n,y,28
brilliant_j,person_n,y,85
brilliant_j,thought_n,y,43
brilliant_j,critic_n,y,26
brilliant_j,midfielder_n,y,18
brilliant_j,divorce_n,y,20
brilliant_j,promise_n,y,29
brilliant_j,thinking_n,y,17
brilliant_j,precision_n,y,12
brilliant_j,comedy_n,y,192
brilliant_j,adaptation_n,y,75
brilliant_j,marriage_n,y,25
brilliant_j,dialogue_n,y,49
brilliant_j,choir_n,y,35
brilliant_j,recovery_n,y,62
brilliant_j,parody_n,y,55
brilliant_j,poetry_n,y,66
brilliant_j,host_n,y,13
brilliant_j,interview_n,y,21
brilliant_j,rookie_n,y,25
brilliant_j,fighter_n,y,49
brilliant_j,champion_n,y,12
brilliant_j,wife_n,y,16
brilliant_j,movie_n,y,155
brilliant_j,bassist_n,y,23
brilliant_j,guidance_n,y,27
brilliant_j,conception_n,y,27
brilliant_j,university_n,y,58
brilliant_j,knack_n,y,19
brilliant_j,performer_n,y,151
brilliant_j,test_n,y,52
brilliant_j,understanding_n,y,40
brilliant_j,investment_n,y,45
brilliant_j,meeting_n,y,23
brilliant_j,builder_n,y,35
brilliant_j,series_n,y,173
brilliant_j,explanation_n,y,26
brilliant_j,exhibition_n,y,51
brilliant_j,lesson_n,y,35
brilliant_j,network_n,y,21
brilliant_j,save_n,y,846
brilliant_j,teenager_n,y,13
brilliant_j,phrase_n,y,20
brilliant_j,hacker_n,y,21
brilliant_j,folk_n,y,17
brilliant_j,drama_n,y,31
brilliant_j,diva_n,y,13
brilliant_j,fiction_n,y,17
brilliant_j,trademark_n,y,16
brilliant_j,poem_n,y,68
brilliant_j,conduct_n,y,13
brilliant_j,entertainment_n,y,108
brilliant_j,party_n,y,73
brilliant_j,narrative_n,y,30
brilliant_j,finale_n,y,34
brilliant_j,artist_n,y,254
brilliant_j,argument_n,y,20
brilliant_j,caricature_n,y,18
brilliant_j,strategy_n,y,208
brilliant_j,dr._n,y,18
brilliant_j,header_n,y,99
brilliant_j,memoir_n,y,30
brilliant_j,child_n,y,125
brilliant_j,facility_n,y,75
brilliant_j,manoeuvre_n,y,19
brilliant_j,outing_n,y,23
brilliant_j,sister_n,y,13
brilliant_j,comedian_n,y,97
brilliant_j,statesman_n,y,25
brilliant_j,manager_n,y,56
brilliant_j,software_n,y,20
brilliant_j,rule_n,y,117
brilliant_j,documentary_n,y,52
brilliant_j,throw_n,y,41
brilliant_j,pr_n,y,20
brilliant_j,secretary_n,y,17
brilliant_j,advice_n,y,61
brilliant_j,disguise_n,y,70
brilliant_j,psychiatrist_n,y,22
brilliant_j,goal_n,y,510
brilliant_j,stuff_n,y,266
brilliant_j,trial_n,y,19
brilliant_j,poet_n,y,87
brilliant_j,future_n,y,382
brilliant_j,president_n,y,15
brilliant_j,youth_n,y,17
brilliant_j,skill_n,y,95
brilliant_j,touch_n,y,75
brilliant_j,conductor_n,y,41
brilliant_j,trilogy_n,y,17
brilliant_j,description_n,y,78
brilliant_j,question_n,y,12
brilliant_j,jazz_n,y,60
brilliant_j,surprise_n,y,30
brilliant_j,gag_n,y,12
brilliant_j,organiser_n,y,23
brilliant_j,report_n,y,28
brilliant_j,fight_n,y,49
brilliant_j,exercise_n,y,64
brilliant_j,representative_n,y,37
brilliant_j,essay_n,y,121
brilliant_j,painter_n,y,33
brilliant_j,classic_n,y,34
brilliant_j,tutor_n,y,45
brilliant_j,set-up_n,y,13
brilliant_j,demonstration_n,y,90
brilliant_j,opener_n,y,32
brilliant_j,philosopher_n,y,23
brilliant_j,tackle_n,y,33
brilliant_j,biography_n,y,55
brilliant_j,catch_n,y,221
brilliant_j,racing_n,y,61
brilliant_j,photography_n,y,35
brilliant_j,inning_n,y,145
brilliant_j,minister_n,y,29
brilliant_j,proposal_n,y,67
brilliant_j,captain_n,y,37
brilliant_j,answer_n,y,51
brilliant_j,maverick_n,y,10
brilliant_j,soldier_n,y,41
brilliant_j,result_n,y,435
brilliant_j,couple_n,y,35
brilliant_j,read_n,y,97
brilliant_j,dancing_n,y,32
brilliant_j,politician_n,y,49
brilliant_j,attempt_n,y,25
brilliant_j,suggestion_n,y,88
brilliant_j,battle_n,y,51
brilliant_j,intellectual_n,y,25
brilliant_j,fielding_n,y,64
brilliant_j,tennis_n,y,69
brilliant_j,photographer_n,y,44
brilliant_j,character_n,y,191
brilliant_j,website_n,y,396
brilliant_j,opinion_n,y,30
brilliant_j,action_n,y,157
brilliant_j,advertising_n,y,43
brilliant_j,intelligence_n,y,28
brilliant_j,conversion_n,y,10
brilliant_j,communication_n,y,70
brilliant_j,architect_n,y,73
brilliant_j,execution_n,y,26
brilliant_j,skiing_n,y,25
brilliant_j,teamwork_n,y,40
brilliant_j,timing_n,y,67
brilliant_j,drummer_n,y,40
brilliant_j,programmer_n,y,46
brilliant_j,vocal_n,y,29
brilliant_j,editor_n,y,38
brilliant_j,reflex_n,y,74
brilliant_j,prize_n,y,69
brilliant_j,equaliser_n,y,26
brilliant_j,mistake_n,y,30
brilliant_j,guide_n,y,66
